Fecha,Hora,Zona de Carga,Precio Zonal  ($/MWh),Componente energia  ($/MWh),Componente perdidas  ($/MWh),Componente Congestion  ($/MWh)
2017-02-01,1,ENSENADA,455.85,444.45,11.4,0
2017-02-01,2,ENSENADA,629.53,609.9,19.64,0
2017-02-01,3,ENSENADA,635.09,615.12,19.98,0
2017-02-01,4,ENSENADA,640.26,620.03,20.23,0
2017-02-01,5,ENSENADA,632.55,612.33,20.22,0
2017-02-01,6,ENSENADA,633.46,612.22,21.23,0
2017-02-01,7,ENSENADA,633.5,612.64,20.86,0
2017-02-01,8,ENSENADA,640.26,619,21.26,0
2017-02-01,9,ENSENADA,645.51,625.77,19.74,0
2017-02-01,10,ENSENADA,482,468.58,13.42,0
2017-02-01,11,ENSENADA,487.76,473.98,13.78,0
2017-02-01,12,ENSENADA,494.75,481.76,12.99,0
2017-02-01,13,ENSENADA,499.57,488.06,11.51,0
2017-02-01,14,ENSENADA,635.48,618.71,16.77,0
2017-02-01,15,ENSENADA,634.24,617.42,16.83,0
2017-02-01,16,ENSENADA,635.69,617.81,17.88,0
2017-02-01,17,ENSENADA,631.87,614.52,17.35,0
2017-02-01,18,ENSENADA,642.83,624.52,18.32,0
2017-02-01,19,ENSENADA,645.29,625.94,19.35,0
2017-02-01,20,ENSENADA,641.84,623.42,18.42,0
2017-02-01,21,ENSENADA,645.53,626.68,18.85,0
2017-02-01,22,ENSENADA,628.04,610.95,17.09,0
2017-02-01,23,ENSENADA,482.44,470.2,12.24,0
2017-02-01,24,ENSENADA,457.35,445.01,12.34,0
2017-02-01,1,MEXICALI,440.61,444.45,-3.84,0
2017-02-01,2,MEXICALI,591.96,609.9,-17.94,0
2017-02-01,3,MEXICALI,593.43,615.12,-21.69,0
2017-02-01,4,MEXICALI,595.89,620.03,-24.14,0
2017-02-01,5,MEXICALI,592.21,612.33,-20.13,0
2017-02-01,6,MEXICALI,592.58,612.22,-19.64,0
2017-02-01,7,MEXICALI,593.72,612.64,-18.92,0
2017-02-01,8,MEXICALI,597.52,619,-21.48,0
2017-02-01,9,MEXICALI,594.97,625.77,-30.8,0
2017-02-01,10,MEXICALI,452.8,468.58,-15.79,0
2017-02-01,11,MEXICALI,454.9,473.98,-19.08,0
2017-02-01,12,MEXICALI,473.28,481.76,-8.48,0
2017-02-01,13,MEXICALI,480.58,488.06,-7.48,0
2017-02-01,14,MEXICALI,600.75,618.71,-17.96,0
2017-02-01,15,MEXICALI,600.29,617.42,-17.13,0
2017-02-01,16,MEXICALI,600.42,617.81,-17.39,0
2017-02-01,17,MEXICALI,599.74,614.52,-14.78,0
2017-02-01,18,MEXICALI,607.33,624.52,-17.19,0
2017-02-01,19,MEXICALI,608.39,625.94,-17.55,0
2017-02-01,20,MEXICALI,608.22,623.42,-15.2,0
2017-02-01,21,MEXICALI,608.4,626.68,-18.28,0
2017-02-01,22,MEXICALI,597.53,610.95,-13.42,0
2017-02-01,23,MEXICALI,459.63,470.2,-10.57,0
2017-02-01,24,MEXICALI,435.26,445.01,-9.75,0
2017-02-01,1,SANLUIS,438.44,444.45,-6.01,0
2017-02-01,2,SANLUIS,588.47,609.9,-21.43,0
2017-02-01,3,SANLUIS,589.83,615.12,-25.29,0
2017-02-01,4,SANLUIS,592.08,620.03,-27.95,0
2017-02-01,5,SANLUIS,588.67,612.33,-23.66,0
2017-02-01,6,SANLUIS,589.54,612.22,-22.69,0
2017-02-01,7,SANLUIS,590.84,612.64,-21.81,0
2017-02-01,8,SANLUIS,594.5,619,-24.5,0
2017-02-01,9,SANLUIS,591.69,625.77,-34.08,0
2017-02-01,10,SANLUIS,450.87,468.58,-17.71,0
2017-02-01,11,SANLUIS,453.06,473.98,-20.92,0
2017-02-01,12,SANLUIS,471.93,481.76,-9.83,0
2017-02-01,13,SANLUIS,479.32,488.06,-8.74,0
2017-02-01,14,SANLUIS,599.26,618.71,-19.45,0
2017-02-01,15,SANLUIS,598.7,617.42,-18.72,0
2017-02-01,16,SANLUIS,598.86,617.81,-18.95,0
2017-02-01,17,SANLUIS,598.39,614.52,-16.13,0
2017-02-01,18,SANLUIS,606.32,624.52,-18.19,0
2017-02-01,19,SANLUIS,607.72,625.94,-18.21,0
2017-02-01,20,SANLUIS,607.75,623.42,-15.68,0
2017-02-01,21,SANLUIS,607.51,626.68,-19.17,0
2017-02-01,22,SANLUIS,596.31,610.95,-14.65,0
2017-02-01,23,SANLUIS,458.19,470.2,-12.01,0
2017-02-01,24,SANLUIS,433.43,445.01,-11.58,0
2017-02-01,1,TIJUANA,450.15,444.45,5.71,0
2017-02-01,2,TIJUANA,616.23,609.9,6.33,0
2017-02-01,3,TIJUANA,620.97,615.12,5.85,0
2017-02-01,4,TIJUANA,625.54,620.03,5.51,0
2017-02-01,5,TIJUANA,618.15,612.33,5.82,0
2017-02-01,6,TIJUANA,618.51,612.22,6.28,0
2017-02-01,7,TIJUANA,619.83,612.64,7.19,0
2017-02-01,8,TIJUANA,627.19,619,8.19,0
2017-02-01,9,TIJUANA,635.25,625.77,9.48,0
2017-02-01,10,TIJUANA,476.19,468.58,7.61,0
2017-02-01,11,TIJUANA,481.44,473.98,7.46,0
2017-02-01,12,TIJUANA,489.28,481.76,7.52,0
2017-02-01,13,TIJUANA,495.61,488.06,7.55,0
2017-02-01,14,TIJUANA,627.47,618.71,8.76,0
2017-02-01,15,TIJUANA,626.28,617.42,8.87,0
2017-02-01,16,TIJUANA,626.58,617.81,8.77,0
2017-02-01,17,TIJUANA,623.34,614.52,8.82,0
2017-02-01,18,TIJUANA,633.51,624.52,9,0
2017-02-01,19,TIJUANA,635.39,625.94,9.45,0
2017-02-01,20,TIJUANA,632.9,623.42,9.48,0
2017-02-01,21,TIJUANA,635.75,626.68,9.07,0
2017-02-01,22,TIJUANA,619.58,610.95,8.63,0
2017-02-01,23,TIJUANA,476.28,470.2,6.08,0
2017-02-01,24,TIJUANA,450.35,445.01,5.34,0
2017-02-02,1,ENSENADA,613.5,597.27,16.23,0
2017-02-02,2,ENSENADA,469.7,457.55,12.15,0
2017-02-02,3,ENSENADA,573.65,558.72,14.93,0
2017-02-02,4,ENSENADA,469.98,457.86,12.12,0
2017-02-02,5,ENSENADA,470.03,457.67,12.36,0
2017-02-02,6,ENSENADA,469.91,457.43,12.48,0
2017-02-02,7,ENSENADA,477.22,464.96,12.26,0
2017-02-02,8,ENSENADA,556.14,542.61,13.53,0
2017-02-02,9,ENSENADA,560.83,542.09,18.74,0
2017-02-02,10,ENSENADA,619.49,596.52,22.97,0
2017-02-02,11,ENSENADA,501.16,487,14.15,0
2017-02-02,12,ENSENADA,497.32,483.58,13.74,0
2017-02-02,13,ENSENADA,502.97,489.18,13.79,0
2017-02-02,14,ENSENADA,503.31,489.43,13.87,0
2017-02-02,15,ENSENADA,508.73,495.13,13.6,0
2017-02-02,16,ENSENADA,507.65,494.68,12.97,0
2017-02-02,17,ENSENADA,507.32,494.19,13.14,0
2017-02-02,18,ENSENADA,560.56,545.29,15.27,0
2017-02-02,19,ENSENADA,568.57,551.6,16.97,0
2017-02-02,20,ENSENADA,564.88,548.52,16.35,0
2017-02-02,21,ENSENADA,567.26,551.83,15.43,0
2017-02-02,22,ENSENADA,558.74,545.3,13.44,0
2017-02-02,23,ENSENADA,503.67,493.14,10.52,0
2017-02-02,24,ENSENADA,481.32,470.62,10.7,0
2017-02-02,1,MEXICALI,583.55,597.27,-13.71,0
2017-02-02,2,MEXICALI,446.81,457.55,-10.74,0
2017-02-02,3,MEXICALI,546.23,558.72,-12.49,0
2017-02-02,4,MEXICALI,448.54,457.86,-9.32,0
2017-02-02,5,MEXICALI,447.79,457.67,-9.88,0
2017-02-02,6,MEXICALI,447.8,457.43,-9.63,0
2017-02-02,7,MEXICALI,453.13,464.96,-11.83,0
2017-02-02,8,MEXICALI,529.9,542.61,-12.71,0
2017-02-02,9,MEXICALI,531.34,542.09,-10.75,0
2017-02-02,10,MEXICALI,540.8,596.52,-39.47,-16.25
2017-02-02,11,MEXICALI,461.73,487,-25.27,0
2017-02-02,12,MEXICALI,459.25,483.58,-24.33,0
2017-02-02,13,MEXICALI,464.74,489.18,-24.44,0
2017-02-02,14,MEXICALI,464.87,489.43,-24.56,0
2017-02-02,15,MEXICALI,471.37,495.13,-23.76,0
2017-02-02,16,MEXICALI,471.2,494.68,-23.48,0
2017-02-02,17,MEXICALI,481.37,494.19,-12.81,0
2017-02-02,18,MEXICALI,534.07,545.29,-11.22,0
2017-02-02,19,MEXICALI,537.34,551.6,-14.26,0
2017-02-02,20,MEXICALI,536.09,548.52,-12.44,0
2017-02-02,21,MEXICALI,536.37,551.83,-15.46,0
2017-02-02,22,MEXICALI,533.47,545.3,-11.83,0
2017-02-02,23,MEXICALI,488.54,493.14,-4.6,0
2017-02-02,24,MEXICALI,462.21,470.62,-8.41,0
2017-02-02,1,SANLUIS,581.08,597.27,-16.19,0
2017-02-02,2,SANLUIS,444.66,457.55,-12.89,0
2017-02-02,3,SANLUIS,543.46,558.72,-15.26,0
2017-02-02,4,SANLUIS,446.3,457.86,-11.56,0
2017-02-02,5,SANLUIS,445.92,457.67,-11.75,0
2017-02-02,6,SANLUIS,446.24,457.43,-11.19,0
2017-02-02,7,SANLUIS,451.48,464.96,-13.49,0
2017-02-02,8,SANLUIS,528.11,542.61,-14.5,0
2017-02-02,9,SANLUIS,529.27,542.09,-12.82,0
2017-02-02,10,SANLUIS,535.28,596.52,-41.99,-19.25
2017-02-02,11,SANLUIS,460.28,487,-26.72,0
2017-02-02,12,SANLUIS,457.94,483.58,-25.64,0
2017-02-02,13,SANLUIS,463.38,489.18,-25.79,0
2017-02-02,14,SANLUIS,463.43,489.43,-26.01,0
2017-02-02,15,SANLUIS,470.11,495.13,-25.02,0
2017-02-02,16,SANLUIS,469.74,494.68,-24.94,0
2017-02-02,17,SANLUIS,480.29,494.19,-13.89,0
2017-02-02,18,SANLUIS,533.32,545.29,-11.97,0
2017-02-02,19,SANLUIS,536.95,551.6,-14.65,0
2017-02-02,20,SANLUIS,535.59,548.52,-12.94,0
2017-02-02,21,SANLUIS,535.56,551.83,-16.27,0
2017-02-02,22,SANLUIS,532.26,545.3,-13.03,0
2017-02-02,23,SANLUIS,487.29,493.14,-5.86,0
2017-02-02,24,SANLUIS,460.59,470.62,-10.03,0
2017-02-02,1,TIJUANA,603.83,597.27,6.57,0
2017-02-02,2,TIJUANA,462.33,457.55,4.78,0
2017-02-02,3,TIJUANA,564.43,558.72,5.71,0
2017-02-02,4,TIJUANA,462.57,457.86,4.71,0
2017-02-02,5,TIJUANA,462.39,457.67,4.72,0
2017-02-02,6,TIJUANA,462.47,457.43,5.04,0
2017-02-02,7,TIJUANA,470.41,464.96,5.45,0
2017-02-02,8,TIJUANA,549.81,542.61,7.2,0
2017-02-02,9,TIJUANA,549.95,542.09,7.86,0
2017-02-02,10,TIJUANA,602.78,596.52,6.26,0
2017-02-02,11,TIJUANA,492.68,487,5.68,0
2017-02-02,12,TIJUANA,489.52,483.58,5.94,0
2017-02-02,13,TIJUANA,494.83,489.18,5.65,0
2017-02-02,14,TIJUANA,495.11,489.43,5.68,0
2017-02-02,15,TIJUANA,501.18,495.13,6.05,0
2017-02-02,16,TIJUANA,500.96,494.68,6.29,0
2017-02-02,17,TIJUANA,501.15,494.19,6.96,0
2017-02-02,18,TIJUANA,553.81,545.29,8.53,0
2017-02-02,19,TIJUANA,560.15,551.6,8.54,0
2017-02-02,20,TIJUANA,557.09,548.52,8.56,0
2017-02-02,21,TIJUANA,559.98,551.83,8.15,0
